time	V(senoidal)	V(vout)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	1.998053e-06	2.305370e-07
1.914285660146017e-08	3.824844e-05	4.178726e-06
3.728571323120228e-08	7.449883e-05	7.452085e-06
5.542856986094439e-08	1.107492e-04	1.005061e-05
7.357142649068649e-08	1.469996e-04	1.197431e-05
9.171428312042859e-08	1.832500e-04	1.322318e-05
1.098571397501707e-07	2.195004e-04	1.379722e-05
1.279999963799128e-07	2.557508e-04	1.369643e-05
1.873541905104008e-07	3.743436e-04	1.492590e-05
2.424717315586710e-07	4.844713e-04	1.718326e-05
3.088518758935367e-07	6.171024e-04	1.987541e-05
3.817051640561035e-07	7.626670e-04	2.143374e-05
5.059490239433115e-07	1.010913e-03	2.204029e-05
6.813238406208411e-06	1.361700e-02	1.907490e-05
1.312052778847351e-05	2.621618e-02	2.229321e-05
1.942781717073861e-05	3.880847e-02	3.169521e-05
2.573510655300371e-05	5.139386e-02	4.728090e-05
3.204239593526881e-05	6.397236e-02	6.905028e-05
3.834968531753391e-05	7.654395e-02	9.700335e-05
4.465697469979900e-05	8.910865e-02	1.311401e-04
5.901205653884243e-05	1.176362e-01	2.706418e-04
7.792182316676457e-05	1.550637e-01	5.886362e-04
1.000000000010000e-04	1.984785e-01	1.207611e-03
1.344704739066982e-04	2.654582e-01	2.872037e-03
1.766104966061164e-04	3.455991e-01	6.371325e-03
2.377795929227582e-04	4.574240e-01	1.512866e-02
3.175745590510988e-04	5.927997e-01	3.463700e-02
4.175745590510987e-04	7.408507e-01	7.437488e-02
5.175745590510987e-04	8.594237e-01	1.327314e-01
6.175745590510988e-04	9.438006e-01	2.097899e-01
7.175745590510988e-04	9.906241e-01	3.037457e-01
8.077053154878081e-04	9.990739e-01	4.000587e-01
8.684060560690308e-04	9.865290e-01	4.693718e-01
9.670181309265210e-04	9.354179e-01	5.850762e-01
1.067018130926521e-03	8.466371e-01	7.007258e-01
1.167018130926521e-03	7.241690e-01	8.072672e-01
1.267018130926521e-03	5.728866e-01	8.970558e-01
1.367018130926521e-03	3.988093e-01	9.627283e-01
1.467018130926521e-03	2.088636e-01	9.976593e-01
1.567018130926521e-03	1.060729e-02	9.963819e-01
1.667018130926521e-03	-1.880711e-01	9.549540e-01
1.767018130926521e-03	-3.792662e-01	8.712478e-01
1.867018130926521e-03	-5.553705e-01	7.451510e-01
1.967018130926521e-03	-7.093768e-01	5.786659e-01
2.067018130926521e-03	-8.351575e-01	3.759028e-01
2.167018130926521e-03	-9.277076e-01	1.429668e-01
2.267018130926521e-03	-9.833446e-01	-1.122582e-01
2.367018130926521e-03	-9.998549e-01	-3.804187e-01
2.419545710043202e-03	-9.925683e-01	-5.233248e-01
2.504982520386454e-03	-9.574687e-01	-7.527753e-01
2.604982520386454e-03	-8.811517e-01	-1.008658e+00
2.704982520386453e-03	-7.697740e-01	-1.240554e+00
2.804982520386453e-03	-6.277674e-01	-1.437894e+00
2.904982520386453e-03	-4.607823e-01	-1.591165e+00
3.004982520386453e-03	-2.754629e-01	-1.692369e+00
3.104982520386453e-03	-7.918292e-02	-1.735428e+00
3.204982520386453e-03	1.202477e-01	-1.716501e+00
3.304982520386452e-03	3.148937e-01	-1.634218e+00
3.404982520386452e-03	4.970103e-01	-1.489808e+00
3.504982520386452e-03	6.593511e-01	-1.287110e+00
3.604982520386452e-03	7.954565e-01	-1.032478e+00
3.704982520386452e-03	8.999112e-01	-7.345693e-01
3.804982520386452e-03	9.685588e-01	-4.040298e-01
3.904982520386451e-03	9.986680e-01	-5.309373e-02
3.968377789295745e-03	9.971853e-01	1.743542e-01
4.039125210839318e-03	9.766758e-01	4.271173e-01
4.139125210839319e-03	9.146280e-01	7.726725e-01
4.239125210839319e-03	8.161874e-01	1.092759e+00
4.339125210839319e-03	6.852713e-01	1.374345e+00
4.439125210839319e-03	5.270885e-01	1.605712e+00
4.539125210839320e-03	3.479331e-01	1.776953e+00
4.639125210839320e-03	1.549336e-01	1.880409e+00
4.739125210839320e-03	-4.423061e-02	1.911016e+00
4.839125210839321e-03	-2.416349e-01	1.866545e+00
4.939125210839321e-03	-4.294247e-01	1.747734e+00
5.039125210839321e-03	-6.001278e-01	1.558298e+00
5.139125210839321e-03	-7.469522e-01	1.304813e+00
5.239125210839322e-03	-8.640557e-01	9.964868e-01
5.339125210839322e-03	-9.467788e-01	6.448179e-01
5.439125210839322e-03	-9.918301e-01	2.631557e-01
5.526410021546370e-03	-9.989197e-01	-8.329253e-02
5.588192630249522e-03	-9.855965e-01	-3.302943e-01
5.688192630249523e-03	-9.324229e-01	-7.213338e-01
5.788192630249523e-03	-8.421486e-01	-1.089119e+00
5.888192630249523e-03	-7.183656e-01	-1.419007e+00
5.988192630249523e-03	-5.659992e-01	-1.697728e+00
6.088192630249524e-03	-3.911120e-01	-1.913931e+00
6.188192630249524e-03	-2.006626e-01	-2.058653e+00
6.288192630249524e-03	-2.228918e-03	-2.125688e+00
6.388192630249524e-03	1.962934e-01	-2.111867e+00
6.488192630249525e-03	3.870054e-01	-2.017192e+00
6.588192630249525e-03	5.623186e-01	-1.844869e+00
6.688192630249525e-03	7.152573e-01	-1.601192e+00
6.788192630249525e-03	8.397364e-01	-1.295314e+00
6.888192630249526e-03	9.308027e-01	-9.389008e-01
6.988192630249526e-03	9.848329e-01	-5.456787e-01
7.088192630249526e-03	9.996770e-01	-1.308997e-01
7.143354378391177e-03	9.908159e-01	1.017857e-01
7.233045482443009e-03	9.508457e-01	4.758417e-01
7.333045482443009e-03	8.704670e-01	8.746159e-01
7.433045482443009e-03	7.554528e-01	1.239240e+00
7.533045482443010e-03	6.103796e-01	1.555272e+00
7.633045482443010e-03	4.410196e-01	1.810130e+00
7.733045482443010e-03	2.541116e-01	1.993605e+00
7.833045482443009e-03	5.709275e-02	2.098269e+00
7.933045482443009e-03	-1.421979e-01	2.119784e+00
8.033045482443008e-03	-3.358305e-01	2.057084e+00
8.133045482443008e-03	-5.161006e-01	1.912427e+00
8.233045482443007e-03	-6.758353e-01	1.691319e+00
8.333045482443006e-03	-8.086788e-01	1.402301e+00
8.433045482443006e-03	-9.093454e-01	1.056623e+00
8.533045482443005e-03	-9.738296e-01	6.678041e-01
8.633045482443005e-03	-9.995655e-01	2.511007e-01
8.689483697801094e-03	-9.965335e-01	9.224397e-03
8.762814667992341e-03	-9.737102e-01	-3.053043e-01
8.862814667992340e-03	-9.091269e-01	-7.232035e-01
8.962814667992340e-03	-8.083699e-01	-1.114126e+00
9.062814667992339e-03	-6.754484e-01	-1.462586e+00
9.162814667992339e-03	-5.156510e-01	-1.754747e+00
9.262814667992338e-03	-3.353361e-01	-1.978976e+00
9.362814667992337e-03	-1.416783e-01	-2.126306e+00
9.462814667992337e-03	5.761670e-02	-2.190801e+00
9.562814667992336e-03	2.546192e-01	-2.169793e+00
9.662814667992336e-03	4.414906e-01	-2.063994e+00
9.762814667992335e-03	6.107952e-01	-1.877474e+00
9.862814667992334e-03	7.557966e-01	-1.617504e+00
9.962814667992334e-03	8.707252e-01	-1.294271e+00
1.006281466799233e-02	9.510081e-01	-9.204815e-01
1.016281466799233e-02	9.934508e-01	-5.108564e-01
1.024591547126402e-02	9.986727e-01	-1.543947e-01
1.030928224957044e-02	9.841751e-01	1.208154e-01
1.040928224957044e-02	9.294251e-01	5.482569e-01
1.050928224957044e-02	8.376936e-01	9.535294e-01
1.060928224957044e-02	7.126308e-01	1.320595e+00
1.070928224957044e-02	5.592127e-01	1.634916e+00
1.080928224957044e-02	3.835438e-01	1.884034e+00
1.090928224957044e-02	1.926139e-01	2.058062e+00
1.100928224957044e-02	-5.980019e-03	2.150083e+00
1.110928224957044e-02	-2.043360e-01	2.156426e+00
1.120928224957043e-02	-3.945616e-01	2.076813e+00
1.130928224957043e-02	-5.690877e-01	1.914374e+00
1.140928224957043e-02	-7.209701e-01	1.675523e+00
