time	V(senoidal)	V(vout)
5.065428842249142e-03	3.996193e-01	-5.294157e-02
5.127197962485175e-03	7.168043e-01	-7.993348e-02
5.199116700452810e-03	9.493269e-01	-9.607753e-02
5.245545751427994e-03	9.996084e-01	-9.630663e-02
5.263344073008325e-03	9.964872e-01	-9.416308e-02
5.286718581593242e-03	9.735044e-01	-8.952631e-02
5.324585424666628e-03	8.921861e-01	-7.791578e-02
5.384752226721856e-03	6.624789e-01	-5.083339e-02
5.451471017429155e-03	3.002136e-01	-1.261265e-02
5.513923661068620e-03	-8.737339e-02	2.542911e-02
5.577849742160135e-03	-4.698707e-01	6.040418e-02
5.645029942014990e-03	-7.902703e-01	8.681376e-02
5.721305781012376e-03	-9.837915e-01	9.839751e-02
5.754237376808247e-03	-9.996456e-01	9.659397e-02
5.771899484646958e-03	-9.905483e-01	9.389044e-02
5.800615957727517e-03	-9.498534e-01	8.702350e-02
5.846885500481624e-03	-8.203637e-01	7.016546e-02
5.919069709099167e-03	-4.868676e-01	3.319827e-02
5.983750067261928e-03	-1.019240e-01	-5.866448e-03
6.052581865337192e-03	3.244040e-01	-4.607156e-02
6.115560847780976e-03	6.639511e-01	-7.559796e-02
6.195579844533672e-03	9.421086e-01	-9.567795e-02
6.244110624176846e-03	9.993154e-01	-9.648056e-02
6.262810183705447e-03	9.967625e-01	-9.433719e-02
6.285850371630763e-03	9.747373e-01	-8.987040e-02
6.323185818388311e-03	8.961235e-01	-7.863406e-02
6.382566296945003e-03	6.727043e-01	-5.227478e-02
6.449341526347796e-03	3.129492e-01	-1.431849e-02
6.511720784504460e-03	-7.357731e-02	2.362028e-02
6.575718537256581e-03	-4.580085e-01	5.878476e-02
6.641989330937292e-03	-7.784202e-01	8.527772e-02
6.711220969200182e-03	-9.704625e-01	9.741508e-02
6.750346177492483e-03	-9.999976e-01	9.626590e-02
6.765563687054277e-03	-9.952224e-01	9.420653e-02
6.790327061804824e-03	-9.680701e-01	8.899009e-02
6.830395040734460e-03	-8.751082e-01	7.602566e-02
6.893787768839754e-03	-6.189076e-01	4.626646e-02
6.960077523132879e-03	-2.482181e-01	7.494894e-03
7.022444213622414e-03	1.405542e-01	-3.040527e-02
7.085846188596978e-03	5.136105e-01	-6.425597e-02
7.156049201478165e-03	8.307680e-01	-8.990749e-02
7.226711083258230e-03	9.893131e-01	-9.860335e-02
7.256291777163693e-03	9.992187e-01	-9.657479e-02
7.275243987732827e-03	9.874474e-01	-9.349190e-02
7.306038830406925e-03	9.386498e-01	-8.566965e-02
7.355526024799497e-03	7.881250e-01	-6.662812e-02
7.432077549952343e-03	4.139321e-01	-2.600875e-02
7.496902431027408e-03	1.946137e-02	1.340759e-02
7.564404359801546e-03	-3.937104e-01	5.181732e-02
7.626797582626965e-03	-7.150480e-01	7.921190e-02
7.699513607938746e-03	-9.501077e-01	9.556492e-02
7.745705814186765e-03	-9.996361e-01	9.577506e-02
7.763403603355590e-03	-9.964558e-01	9.364854e-02
7.786815383981738e-03	-9.733651e-01	8.901560e-02
7.824741434019344e-03	-8.917429e-01	7.740023e-02
7.884995669623196e-03	-6.613322e-01	5.029919e-02
7.951657728112904e-03	-2.990944e-01	1.214911e-02
8.014083246835169e-03	8.837222e-02	-2.581692e-02
8.077947048836132e-03	4.704104e-01	-6.068653e-02
8.145132292477708e-03	7.906642e-01	-8.701510e-02
8.221357297558018e-03	9.838495e-01	-9.849987e-02
8.254257048263325e-03	9.996423e-01	-9.666297e-02
8.271931511640851e-03	9.905207e-01	-9.394045e-02
8.300667917398474e-03	9.497513e-01	-8.703837e-02
8.346968468563976e-03	8.200655e-01	-7.012014e-02
8.419195435284799e-03	4.861774e-01	-3.305733e-02
8.483911313342585e-03	1.009161e-01	6.080886e-03
8.552765819406893e-03	-3.254971e-01	4.633374e-02
8.615851580648926e-03	-6.653159e-01	7.590961e-02
8.695950270069197e-03	-9.428865e-01	9.596092e-02
8.744261687802179e-03	-9.993501e-01	9.673302e-02
8.762866394580238e-03	-9.967341e-01	9.460145e-02
8.785941785995455e-03	-9.746088e-01	9.012987e-02
8.823333215381979e-03	-8.957121e-01	7.887548e-02
8.882796666918491e-03	-6.716326e-01	5.246739e-02
8.949541742502509e-03	-3.117541e-01	1.452233e-02
9.011886721391749e-03	7.461706e-02	-2.338788e-02
9.075860997322938e-03	4.588040e-01	-5.852084e-02
9.142240834014048e-03	7.794113e-01	-8.502179e-02
9.211466075153218e-03	9.708329e-01	-9.710366e-02
9.250441799196762e-03	9.999961e-01	-9.594110e-02
9.265719389462301e-03	9.951264e-01	-9.386883e-02
9.290580122838676e-03	9.676703e-01	-8.861985e-02
9.330801995998117e-03	8.738680e-01	-7.557227e-02
9.394418328672716e-03	6.157908e-01	-4.565201e-02
9.460654286617354e-03	2.447059e-01	-6.890526e-03
9.522999973437418e-03	-1.440106e-01	3.095591e-02
9.586341562755285e-03	-5.162787e-01	6.468668e-02
9.656702110668824e-03	-8.330445e-01	9.023712e-02
9.727022714962397e-03	-9.895967e-01	9.873351e-02
9.756409669611221e-03	-9.991891e-01	9.667808e-02
9.775435895224449e-03	-9.872562e-01	9.356333e-02
9.806349791835700e-03	-9.379742e-01	8.566712e-02
9.856020316326708e-03	-7.862096e-01	6.647272e-02
9.932816314202064e-03	-4.097022e-01	2.560816e-02
9.997725711804462e-03	-1.428929e-02	-1.389627e-02
1.006546925838836e-02	3.998521e-01	-5.238109e-02
1.012753998285820e-02	7.183011e-01	-7.951439e-02
1.019952920509337e-02	9.501383e-01	-9.563944e-02
1.024571210015401e-02	9.996371e-01	-9.585763e-02
1.026340594116859e-02	9.964546e-01	-9.373603e-02
1.028681918547902e-02	9.733596e-01	-8.910661e-02
1.032474756044244e-02	8.917255e-01	-7.749818e-02
1.038500522863894e-02	6.612872e-01	-5.040381e-02
1.045166314804269e-02	2.990619e-01	-1.226539e-02
1.051407306088725e-02	-8.830847e-02	2.568596e-02
1.057793111615513e-02	-4.703220e-01	6.054858e-02
1.064515524207410e-02	-7.907525e-01	8.688952e-02
1.072136884541175e-02	-9.838625e-01	9.836708e-02
1.075426145752290e-02	-9.996415e-01	9.653129e-02
1.077193869032800e-02	-9.905145e-01	9.380776e-02
1.080067956381692e-02	-9.497284e-01	8.690591e-02
1.084698706485621e-02	-8.199986e-01	6.998511e-02
1.091922361315567e-02	-4.860227e-01	3.292144e-02
1.098394835361960e-02	-1.006846e-01	-6.216579e-03
1.105279396671177e-02	3.256643e-01	-4.645196e-02
1.111557681625031e-02	6.640261e-01	-7.590117e-02
1.119574708704518e-02	9.424605e-01	-9.601980e-02
1.124417884994022e-02	9.993312e-01	-9.681247e-02
1.126283557096475e-02	9.967497e-01	-9.467461e-02
1.128589165843130e-02	9.746793e-01	-9.020671e-02
1.132325239035237e-02	8.959378e-01	-7.896156e-02
1.138267034843632e-02	6.722205e-01	-5.257832e-02
1.144943750690763e-02	3.123763e-01	-1.461738e-02
1.151179294575155e-02	-7.402948e-02	2.331140e-02
1.157578666186820e-02	-4.583890e-01	5.847667e-02
1.164210005149258e-02	-7.788568e-01	8.498403e-02
1.171132435468980e-02	-9.706190e-01	9.711414e-02
1.175038651760563e-02	-9.999971e-01	9.596934e-02
1.176562937354109e-02	-9.951820e-01	9.390930e-02
1.179043382231493e-02	-9.679017e-01	8.868580e-02
1.183056673335892e-02	-8.745856e-01	7.569873e-02
1.189405383791131e-02	-6.175936e-01	4.589086e-02
1.196030353243516e-02	-2.468422e-01	7.155679e-03
1.202264827237554e-02	1.418235e-01	-3.069478e-02
1.208600823120087e-02	5.144839e-01	-6.446951e-02
1.215627326623459e-02	8.315508e-01	-9.006480e-02
1.222681813401594e-02	9.894109e-01	-9.866646e-02
1.225633228147771e-02	9.992086e-01	-9.661869e-02
1.227530992164572e-02	9.873818e-01	-9.351797e-02
1.230614567043831e-02	9.384180e-01	-8.566030e-02
1.235569586821073e-02	7.874677e-01	-6.654978e-02
1.243233146365719e-02	4.124793e-01	-2.582309e-02
1.249720138635735e-02	1.758330e-02	1.365146e-02
1.256462200555286e-02	-3.949671e-01	5.202029e-02
1.262680533113314e-02	-7.150820e-01	7.932942e-02
1.269938927269121e-02	-9.498637e-01	9.569015e-02
1.274565569385944e-02	-9.996275e-01	9.592739e-02
1.276338496296248e-02	-9.964657e-01	9.380327e-02
1.278678507293640e-02	-9.734088e-01	8.917955e-02
1.282469258482810e-02	-8.918818e-01	7.758176e-02
1.288491944816750e-02	-6.616914e-01	5.051126e-02
1.295158080104586e-02	-2.995556e-01	1.237500e-02
1.301399092725619e-02	8.779441e-02	-2.557959e-02
1.307785629361780e-02	4.699071e-01	-6.045881e-02
1.314502122494554e-02	7.902368e-01	-8.680112e-02
1.322130139223754e-02	9.837866e-01	-9.832237e-02
1.325423570087936e-02	9.996459e-01	-9.649191e-02
1.327189675607388e-02	9.905506e-01	-9.377536e-02
1.330061153094353e-02	9.498621e-01	-8.688685e-02
1.334687843173432e-02	8.203891e-01	-6.999790e-02
1.341905899671159e-02	4.869264e-01	-3.298653e-02
1.348377831673453e-02	1.017475e-01	6.136761e-03
1.355263024243203e-02	-3.246915e-01	4.638331e-02
1.361576311489299e-02	-6.649009e-01	7.598346e-02
1.369579041480384e-02	-9.425514e-01	9.603266e-02
1.374419651926195e-02	-9.993352e-01	9.681490e-02
1.376284214572676e-02	-9.967464e-01	9.467699e-02
1.378590235080401e-02	-9.746643e-01	9.020517e-02
1.382326963078073e-02	-8.958896e-01	7.895473e-02
1.388269729383262e-02	-6.720951e-01	5.255949e-02
1.394946398945818e-02	-3.122182e-01	1.459370e-02
1.401182322256944e-02	7.421919e-02	-2.334068e-02
1.407581718983075e-02	4.585594e-01	-5.850454e-02
1.414216003388691e-02	7.790931e-01	-8.501746e-02
1.421138651768361e-02	9.707129e-01	-9.713341e-02
1.425041076817224e-02	9.999967e-01	-9.598470e-02
1.426566886114022e-02	9.951577e-01	-9.392016e-02
1.429049800086468e-02	9.678003e-01	-8.868787e-02
1.433066994008558e-02	8.742710e-01	-7.567678e-02
1.439421374843208e-02	6.168031e-01	-4.582388e-02
1.446045858943901e-02	2.458980e-01	-7.079175e-03
1.452279913198384e-02	-1.427617e-01	3.076443e-02
1.458614970490890e-02	-5.152459e-01	6.451885e-02
1.465645078257860e-02	-8.321698e-01	9.009334e-02
1.472690286730449e-02	-9.894881e-01	9.865244e-02
1.475636433697436e-02	-9.992006e-01	9.660164e-02
1.477536210218466e-02	-9.873299e-01	9.349594e-02
1.480623022242611e-02	-9.382343e-01	8.562277e-02
1.485583026932313e-02	-7.869469e-01	6.647956e-02
1.493253234183856e-02	-4.113292e-01	2.569867e-02
1.499741997673687e-02	-1.621005e-02	-1.378534e-02
1.506516124760338e-02	3.980775e-01	-5.229168e-02
1.512737638685047e-02	7.175856e-01	-7.951953e-02
1.519957918162551e-02	9.502361e-01	-9.569845e-02
1.524573223968573e-02	9.996405e-01	-9.590690e-02
1.526341343122994e-02	9.964506e-01	-9.378427e-02
1.528683136499032e-02	9.733421e-01	-8.915127e-02
1.532476718863074e-02	8.916697e-01	-7.753503e-02
1.538503585391449e-02	6.611429e-01	-5.042654e-02
1.545169835733207e-02	2.988508e-01	-1.227603e-02
1.551411138507830e-02	-8.854833e-02	2.568284e-02
1.557797279407369e-02	-4.705531e-01	6.054980e-02
1.564520044786621e-02	-7.909263e-01	8.689050e-02
1.572139158848862e-02	-9.838881e-01	9.836343e-02
1.575427014112352e-02	-9.996401e-01	9.652953e-02
1.577195282803601e-02	-9.905022e-01	9.380633e-02
1.580070250019450e-02	-9.496832e-01	8.690308e-02
1.584702368777813e-02	-8.198669e-01	6.997769e-02
1.591927910343616e-02	-4.857180e-01	3.290443e-02
1.598399999059708e-02	-1.003618e-01	-6.227455e-03
1.605283904222743e-02	3.259321e-01	-4.645052e-02
1.611565454830610e-02	6.643912e-01	-7.590049e-02
1.619583744505682e-02	9.426501e-01	-9.599460e-02
1.624421569568124e-02	9.993396e-01	-9.677209e-02
1.626284928122956e-02	9.967427e-01	-9.463449e-02
1.628591395508017e-02	9.746480e-01	-9.016228e-02
1.632328834145191e-02	8.958374e-01	-7.890833e-02
1.638272653650974e-02	6.719590e-01	-5.250741e-02
1.644948864926810e-02	3.120711e-01	-1.454347e-02
1.651184614190737e-02	-7.436280e-02	2.338667e-02
1.657583620724945e-02	-4.586656e-01	5.854439e-02
1.664217774810295e-02	-7.791628e-01	8.505010e-02
1.671140194596488e-02	-9.707362e-01	9.715939e-02
1.675041678637101e-02	-9.999965e-01	9.600723e-02
1.676567866067180e-02	-9.951516e-01	9.394173e-02
1.679051392778974e-02	-9.677750e-01	8.870546e-02
1.683069555183825e-02	-8.741929e-01	7.568761e-02
1.689425342862205e-02	-6.166068e-01	4.582048e-02
1.696049170441216e-02	-2.456963e-01	7.075221e-03
1.702283387388648e-02	1.429778e-01	-3.077084e-02
1.708618230209069e-02	5.154215e-01	-6.452135e-02
1.715650549209591e-02	8.323604e-01	-9.009642e-02
1.722692896770539e-02	9.895117e-01	-9.864247e-02
1.725637421020454e-02	9.991981e-01	-9.659174e-02
1.727537817398117e-02	9.873139e-01	-9.348386e-02
1.730625626440374e-02	9.381777e-01	-8.560678e-02
1.735587166284414e-02	7.867864e-01	-6.645280e-02
1.743259420043630e-02	4.109749e-01	-2.565565e-02
1.749748580375932e-02	1.579650e-02	1.383168e-02
1.756495095600674e-02	-3.968651e-01	5.219385e-02
1.762704143267801e-02	-7.161182e-01	7.941401e-02
1.769938427291651e-02	-9.498539e-01	9.568954e-02
1.774565367801983e-02	-9.996271e-01	9.592378e-02
1.776338421324009e-02	-9.964660e-01	9.379862e-02
1.778678385381438e-02	-9.734105e-01	8.917324e-02
1.782469062007741e-02	-8.918874e-01	7.757367e-02
1.788491638239487e-02	-6.617059e-01	5.050023e-02
1.795157858211160e-02	-2.995689e-01	1.236052e-02
1.801399201712983e-02	8.780123e-02	-2.559900e-02
1.807785967145104e-02	4.699258e-01	-6.048123e-02
1.814503169763215e-02	7.902771e-01	-8.682697e-02
1.822130666488908e-02	9.837925e-01	-9.834648e-02
1.825423771432999e-02	9.996455e-01	-9.651636e-02
1.827190003416468e-02	9.905478e-01	-9.379935e-02
1.830061684925388e-02	9.498517e-01	-8.691032e-02
1.834688692407971e-02	8.203586e-01	-7.001905e-02
1.841907186648828e-02	4.868557e-01	-3.300385e-02
1.848378980675025e-02	1.016756e-01	6.120100e-03
1.855264196337747e-02	-3.247612e-01	4.636699e-02
1.861570459228012e-02	-6.646262e-01	7.594081e-02
1.869575263878964e-02	-9.424721e-01	9.601010e-02
1.874418111411358e-02	-9.993317e-01	9.679955e-02
1.876283641346710e-02	-9.967493e-01	9.466171e-02
1.878589302857292e-02	-9.746774e-01	9.019233e-02
1.882325459958034e-02	-8.959316e-01	7.894631e-02
1.888267380131015e-02	-6.722044e-01	5.256034e-02
1.894944083911043e-02	-3.123564e-01	1.459899e-02
1.901179898084560e-02	7.406729e-02	-2.333206e-02
1.907579253937031e-02	4.584218e-01	-5.849573e-02
1.914212106017588e-02	7.789395e-01	-8.500605e-02
1.921134781225975e-02	9.706544e-01	-9.712905e-02
1.925039566913012e-02	9.999969e-01	-9.598179e-02
1.926564427512045e-02	9.951729e-01	-9.391930e-02
1.929045804167950e-02	9.678634e-01	-8.869188e-02
1.933060568145284e-02	8.744670e-01	-7.569409e-02
1.939411418724646e-02	6.172953e-01	-4.586711e-02
1.946036794371175e-02	2.464500e-01	-7.122026e-03
1.952271311048803e-02	-1.422268e-01	3.072906e-02
1.958607211751739e-02	-5.148280e-01	6.449914e-02
