Freq.	V(vout)
1.10917481526240e+00	(-4.63151393295660e+01dB,1.71937778935975e+02°)
1.11173172728159e+00	(-4.62753326231282e+01dB,1.71919253060112e+02°)
1.11429453359173e+00	(-4.62355268045399e+01dB,1.71900684888265e+02°)
1.11686324778056e+00	(-4.61957218778591e+01dB,1.71882074325761e+02°)
1.11943788346715e+00	(-4.61559178471621e+01dB,1.71863421277725e+02°)
1.12201845430196e+00	(-4.61161147165438e+01dB,1.71844725649085e+02°)
1.12460497396692e+00	(-4.60763124901177e+01dB,1.71825987344567e+02°)
1.12719745617551e+00	(-4.60365111720157e+01dB,1.71807206268701e+02°)
1.12979591467279e+00	(-4.59967107663884e+01dB,1.71788382325812e+02°)
1.13240036323555e+00	(-4.59569112774053e+01dB,1.71769515420028e+02°)
1.13501081567231e+00	(-4.59171127092548e+01dB,1.71750605455276e+02°)
1.13762728582343e+00	(-4.58773150661440e+01dB,1.71731652335281e+02°)
1.14024978756117e+00	(-4.58375183522993e+01dB,1.71712655963565e+02°)
1.14287833478977e+00	(-4.57977225719660e+01dB,1.71693616243452e+02°)
1.14551294144553e+00	(-4.57579277294087e+01dB,1.71674533078059e+02°)
1.14815362149688e+00	(-4.57181338289112e+01dB,1.71655406370306e+02°)
1.15080038894443e+00	(-4.56783408747768e+01dB,1.71636236022906e+02°)
1.15345325782109e+00	(-4.56385488713281e+01dB,1.71617021938370e+02°)
1.15611224219210e+00	(-4.55987578229073e+01dB,1.71597764019007e+02°)
1.15877735615512e+00	(-4.55589677338762e+01dB,1.71578462166921e+02°)
1.16144861384034e+00	(-4.55191786086164e+01dB,1.71559116284012e+02°)
1.16412602941049e+00	(-4.54793904515291e+01dB,1.71539726271975e+02°)
1.16680961706096e+00	(-4.54396032670355e+01dB,1.71520292032302e+02°)
1.16949939101987e+00	(-4.53998170595769e+01dB,1.71500813466278e+02°)
1.17219536554813e+00	(-4.53600318336144e+01dB,1.71481290474985e+02°)
1.17489755493953e+00	(-4.53202475936295e+01dB,1.71461722959297e+02°)
1.17760597352080e+00	(-4.52804643441237e+01dB,1.71442110819884e+02°)
1.18032063565173e+00	(-4.52406820896189e+01dB,1.71422453957207e+02°)
1.18304155572516e+00	(-4.52009008346575e+01dB,1.71402752271522e+02°)
1.18576874816716e+00	(-4.51611205838024e+01dB,1.71383005662880e+02°)
1.18850222743701e+00	(-4.51213413416369e+01dB,1.71363214031121e+02°)
1.19124200802737e+00	(-4.50815631127653e+01dB,1.71343377275880e+02°)
1.19398810446427e+00	(-4.50417859018125e+01dB,1.71323495296582e+02°)
