time	V(senoidal)	V(vout)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	6.283185e-08	2.305279e-07
3.742857037001915e-08	2.351706e-06	6.032275e-06
7.385714076832023e-08	4.640581e-06	1.038792e-05
1.102857111666213e-07	6.929455e-06	1.329747e-05
1.467142815649224e-07	9.218330e-06	1.476092e-05
1.831428519632235e-07	1.150720e-05	1.477828e-05
2.195714223615245e-07	1.379608e-05	1.334953e-05
2.559999927598255e-07	1.608495e-05	1.047469e-05
4.285335540312037e-07	2.692556e-05	1.125836e-05
1.465302876074104e-05	9.206783e-04	1.052537e-05
2.887752396745087e-05	1.814429e-03	1.194969e-05
4.310201917416071e-05	2.708177e-03	1.553130e-05
5.732651438087054e-05	3.601922e-03	2.127022e-05
7.155100958758037e-05	4.495665e-03	2.916644e-05
8.577550479429021e-05	5.389406e-03	3.921996e-05
1.000000000010000e-04	6.283144e-03	5.143078e-05
1.360219832378186e-04	8.546409e-03	1.082472e-04
1.766613145323598e-04	1.109973e-02	2.169786e-04
2.403540893186066e-04	1.510132e-02	5.139131e-04
3.171724994358733e-04	1.992722e-02	1.127727e-03
4.171724994358732e-04	2.620872e-02	2.446397e-03
5.171724994358733e-04	3.248919e-02	4.447626e-03
6.171724994358733e-04	3.876837e-02	7.208094e-03
7.171724994358734e-04	4.504603e-02	1.076674e-02
8.171724994358734e-04	5.132191e-02	1.512929e-02
9.171724994358735e-04	5.759576e-02	2.026776e-02
1.017172499435874e-03	6.386733e-02	2.612700e-02
1.117172499435874e-03	7.013639e-02	3.262583e-02
1.217172499435874e-03	7.640268e-02	3.966481e-02
1.317172499435874e-03	8.266595e-02	4.712828e-02
1.417172499435874e-03	8.892595e-02	5.489251e-02
1.517172499435874e-03	9.518245e-02	6.282780e-02
1.617172499435874e-03	1.014352e-01	7.080636e-02
1.717172499435874e-03	1.076839e-01	7.870375e-02
1.817172499435874e-03	1.139284e-01	8.640588e-02
1.917172499435874e-03	1.201684e-01	9.380928e-02
2.017172499435874e-03	1.264036e-01	1.008269e-01
2.117172499435874e-03	1.326339e-01	1.073867e-01
2.217172499435874e-03	1.388589e-01	1.134366e-01
2.317172499435873e-03	1.450784e-01	1.189410e-01
2.417172499435873e-03	1.512922e-01	1.238845e-01
2.517172499435873e-03	1.575001e-01	1.282673e-01
2.617172499435873e-03	1.637017e-01	1.321076e-01
2.717172499435873e-03	1.698968e-01	1.354364e-01
2.817172499435873e-03	1.760853e-01	1.382980e-01
2.917172499435872e-03	1.822668e-01	1.407456e-01
3.017172499435872e-03	1.884411e-01	1.428405e-01
3.217172499435872e-03	2.007671e-01	1.462343e-01
3.317172499435872e-03	2.069184e-01	1.476675e-01
3.417172499435872e-03	2.130614e-01	1.490119e-01
3.517172499435871e-03	2.191961e-01	1.503264e-01
3.617172499435871e-03	2.253221e-01	1.516648e-01
3.717172499435871e-03	2.314392e-01	1.530719e-01
3.817172499435871e-03	2.375472e-01	1.545854e-01
3.917172499435871e-03	2.436458e-01	1.562324e-01
4.017172499435871e-03	2.497348e-01	1.580319e-01
4.117172499435872e-03	2.558140e-01	1.599922e-01
4.217172499435872e-03	2.618830e-01	1.621144e-01
4.317172499435872e-03	2.679417e-01	1.643898e-01
4.417172499435872e-03	2.739898e-01	1.668039e-01
4.517172499435873e-03	2.800271e-01	1.693350e-01
4.617172499435873e-03	2.860533e-01	1.719577e-01
4.717172499435873e-03	2.920683e-01	1.746416e-01
4.817172499435874e-03	2.980717e-01	1.773559e-01
4.917172499435874e-03	3.040633e-01	1.800670e-01
5.017172499435874e-03	3.100430e-01	1.827432e-01
5.117172499435874e-03	3.160104e-01	1.853531e-01
